adopted,"
adj.被收养的，被采用的v.采用( adopt的过去式和过去分词 )；收养；正式接受；吸收（外来词语）
"
against,"
prep.反对；对…不利；紧靠；以防
"
ah,"
int.啊易混淆的单词：AhAHaH
"
alive,"
adj.活着的；活泼的；有生气的；敏感的易混淆的单词：ALIVEAlive
"
ambitious,"
adj.有雄心的；有野心的；费力的；耗资的比较级：more ambitious最高级：most ambitious
"
ambushed,"
v.埋伏( ambush的过去式和过去分词 )；埋伏着易混淆的单词：Ambushed
"
ancient,"
adj.古代的，已往的；古老的，过时的；年老的；老式的n.古代人；古文明国的国民；&lt;古&gt;高龄老人；&lt;古&gt;旗手复数：ancients
"
antenna,"
n.[生] 触角，触须；感觉，直觉；天线复数：antennasantennae易混淆的单词：Antenna
"
apart,"
adv.相隔，相距；分散地，分开地；成部分，成碎片；分辨adj.分离的，隔离的
"
appetite,"
n.欲望；胃口，食欲；嗜好，爱好复数：appetites易混淆的单词：Appetite
"
arm,"
n.臂；武器；[复数]战事；权力vi.准备（斗争），准备行动（against）vt.装备（防御工事）；准备（攻击或迎击）；配备；防护复数：arms第三人称单数：arms过去式：armed过去分词：armed现在分词：arming易混淆的单词：ArmARM
"
armor,"
n.装甲；盔甲；保障；装甲部队vt.为…穿盔甲（或加置装甲）；为…提供防御第三人称单数：armors过去式：armored过去分词：armored现在分词：armoring易混淆的单词：Armor
"
army,"
n.军队；陆军；团体；野战军复数：armies易混淆的单词：Army
"
artifacts,"
n.史前古器物
"
asthma,"
n.&lt;医&gt;气喘，哮喘
"
ate,"
abbr.Automatic Test Equipment 自动试验设备v.吃（过去式）易混淆的单词：ATE
"
attention,"
n.注意，注意力；照料，关怀；殷勤int.[口令]立正复数：attentions
"
await,"
vt.等候；等待；期待第三人称单数：awaits过去式：awaited过去分词：awaited现在分词：awaiting
"
awaits,"
v.等候( await的第三人称单数 )；等待；期待；将发生在
"
awesome,"
adj.令人敬畏的；使人畏惧的；可怕的；极好的
"
awesomely,"
赫然
"
backache,"
n.背痛，腰痛复数：backaches
"
badger,"
n.獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；&lt;动&gt;&lt;澳&gt;毛鼻袋熊vt.纠缠不休；吵着要；烦扰复数：badgers第三人称单数：badgers过去式：badgered现在分词：badgering易混淆的单词：Badger
"
banished,"
v.放逐，驱逐( banish的过去式和过去分词 )
"
barely,"
adv.仅仅，勉强，好容易才；几乎不，几乎没有；赤裸裸地，无遮蔽地；公然地，露骨地，公开地
"
bath,"
n.沐浴；洗澡；浴缸，澡盆；浸，泡，洗澡水vt.&amp; vi.（给…）洗澡复数：baths第三人称单数：baths过去式：bathed现在分词：bathing易混淆的单词：BathBATH
"
beast,"
n.野兽；人面兽心的人；讨厌的人（或事物）；老顽固，坏蛋复数：beasts易混淆的单词：BeastBEAST
"
beat,"
vi.（心脏等）跳动；搜索；（风、雨等）吹打；（鼓）咚咚地响vt.&amp; vi.接连地击打vt.打败；敲打；控制；避免n.节拍；（鼓的）一击；管区adj.[美国口语]大吃一惊的；[常作 B-]“反传统一代”成员的；摇滚音乐的；[口语]（体力或情绪上）疲劳不堪的第三人称单数：beats过去式：beat过去分词：beaten现在分词：beating易混淆的单词：BEATBeat
"
behold,"
vt.看到，注视；领悟vi.瞧；用在祈使句中以引起人注意int.瞧，看呀第三人称单数：beholds过去式：beheld过去分词：beheld现在分词：beholding
"
bellies,"
n.肚子( belly的名词复数 )；腹部；（物体的）圆形或凸起部份；腹部…形的
"
belly,"
n.肚子，腹部；（物体的）圆形或凸起部份；胃口，食欲；腹部…形的vt.&amp; vi.膨胀复数：bellies第三人称单数：bellies过去式：bellied过去分词：bellied现在分词：bellying
"
bestie,"
〈俚〉最好的朋友；闺蜜
"
betrayed,"
v.对…不忠( betray的过去式和过去分词 )；背叛；出卖；泄露易混淆的单词：Betrayed
"
bigger,"
adj.大的，长大的；大的( big的比较级 )；重要的；（计划） 庞大的；大方的易混淆的单词：Bigger
"
birdie,"
n.小鸟儿；小鸟球（高尔夫中指某洞的杆数低于标准杆一杆）vt.高尔夫中以低于标准杆一杆的成绩打进复数：birdies第三人称单数：birdies过去式：birdied过去分词：birdied现在分词：birdying易混淆的单词：BIRDIE
"
bit,"
n.一点，一块；少量，少许；一会儿，一转眼；[计] 比特（二进位制信息单位）adj.很小的，微不足道的adv.[口语]相当，有点儿，或多或少，多少[a bit to的省略]vt.给（马）上嚼子；上衔铁；抑制；制约v.咬，叮( bite的过去式)；刺痛；咬饵；有咬（或叮）的习性复数：bits第三人称单数：bits过去式：bitted过去分词：bitted现在分词：bitting易混淆的单词：BitBIT
"
bite,"
vt.&amp; vi.咬；叮n.咬；咬伤；疼痛；受骗vi.刺痛；咬饵；有咬（或叮）的习性；（人）上当vt.（辣椒，胡椒等）刺激；（齿轮，螺丝，钳子，锚等）咬住；（利器等）刺进；（寒风等）刺骨abbr.机内测试设备(Built-In Test Equipment)复数：bites第三人称单数：bites过去式：bit过去分词：bitten现在分词：biting易混淆的单词：BITE
"
blade-swinging,None
blame,"
vt.指责，责怪；归咎于n.责备；责任；过失第三人称单数：blames过去式：blamed过去分词：blamed现在分词：blaming
"
blank,"
adj.空白的；空的，无信息的，未填写的；茫然的；空虚的n.空的空间或地点；填空处，空白表格；坯；无用的东西vt.消失；挡住通路；[体育运动] 阻止（对手）得分；打孔，盖印vi.走神；逐渐消失复数：blanks第三人称单数：blanks过去式：blanked现在分词：blanking易混淆的单词：Blank
"
blinked,"
v.眨眼睛( blink的过去式 )；闪亮，闪烁易混淆的单词：Blinked
"
bought,"
v.购买，购得( buy的过去式和过去分词 )；做出牺牲以获得；够支付；买通
"
bring,"
vt.带来，引来；促使，引起；提供；导致第三人称单数：brings过去式：brought过去分词：brought现在分词：bringing易混淆的单词：Bring
"
brother-in-arms,None
buddy,"
n.密友，好友；同伴，搭档；互相帮助的朋友；[名]巴迪vi.交朋友；做朋友复数：buddies第三人称单数：buddies过去式：buddied过去分词：buddied现在分词：buddying易混淆的单词：Buddy
"
buffet,"
n.自助餐；火车饮食柜台；车站快餐部 复数：buffets第三人称单数：buffets过去式：buffeted过去分词：buffeted现在分词：buffeting
"
bunch,"
n.束，串，捆；一串，一群；一帮，一伙；[非正式用语]大量vt.聚成一串，形成一串；聚成一组；使起褶：使（织物）起褶vi.形成一串，形成一组；打褶；膨胀，凸出复数：bunches第三人称单数：bunches过去式：bunched过去分词：bunched现在分词：bunching易混淆的单词：Bunch
"
bunnies,"
n.兔子( bunny的名词复数 )
"
buns,"
n.圆形的小面包或点心( bun的名词复数 )；（女子的）圆发髻
"
butt,"
n.烟蒂，屁股；笑柄；（武器或工具的）粗大的一端；大酒桶vt.&amp; vi.用头撞或顶；碰撞复数：butts第三人称单数：butts过去式：butted过去分词：butted现在分词：butting易混淆的单词：Butt
"
cannonball,"
n.炮弹vi.[美国俚语]迅速移动；（炮弹般地）疾驶（
1
6
5
5～
1
6
6
5）adj.[俚语]快的；飞速的复数：cannonballs第三人称单数：cannonballs过去式：cannonballed过去分词：cannonballed现在分词：cannonballing
"
cape,"
n.斗篷； 披肩；海角； 岬复数：capes易混淆的单词：CapeCAPE
"
captioned,"
adj.标题下的v.给（图片、照片等）加说明文字( caption的过去式和过去分词 )
"
carried,"
adj.被携带的，被运载的v.支撑( carry的过去式和过去分词 )；携带；输送；运载
"
cave,"
n.洞穴；〈方〉地窖vt.&amp; vi.（使）塌陷，倒塌；暗中破坏vi.屈服复数：caves第三人称单数：caves过去式：caved过去分词：caved现在分词：caving易混淆的单词：CaveCAVeCAVE
"
chao,"
[地名] [秘鲁] 查奥
"
charge,"
vt.装载；控诉；使充电；索价vi.索价；向前冲；记在账上；充电n.要价；指控；指责；电荷复数：charges第三人称单数：charges过去式：charged过去分词：charged现在分词：charging易混淆的单词：ChargeCHARGE
"
chat-chat,None
chi,"
n.希腊字母的第 
2
2字复数：chis易混淆的单词：ChiChICHI
"
"chi""","
n.希腊字母的第 
2
2字复数：chis易混淆的单词：ChiChICHI
"
chick,"
n.小鸡；小鸟；少妇；&lt;口&gt;小姐adj.胆小的；雅致的复数：chicks易混淆的单词：Chick
"
chit-chat,"
n.闲聊，叽叽喳喳
"
chitty-chitty,None
choked,"
v.填塞( choke的过去式和过去分词 )；（使）窒息；（尤指感情激动）而哽咽；因紧张而失灵易混淆的单词：Choked
"
chopsticks,"
n.筷子；筷子( chopstick的名词复数 )
"
chose,None
chow,"
n.原产地中国的狗（体壮，有褐或黑色厚毛，舌为深蓝色）复数：chows易混淆的单词：Chow
"
chrysanthemum,"
n.菊花；菊属复数：chrysanthemums
"
chubby,"
adj.胖乎乎的，圆胖的，丰满的比较级：chubbier最高级：chubbiest
"
claw,"
n.（动物的）爪；（蟹等的）钳；爪形器具vt.&amp; vi.用爪抓（或挖）复数：claws第三人称单数：claws过去式：clawed过去分词：clawed现在分词：clawing易混淆的单词：CLAW
"
compliment,"
n.恭维；敬意；道贺，贺词；致意vt.向…道贺；称赞；向…致意复数：compliments第三人称单数：compliments过去式：complimented过去分词：complimented现在分词：complimenting
"
compliments,"
n.问候，道贺，致意；赞美（话）( compliment的名词复数 )；向…送礼以表示敬意；问候；致意v.表扬，恭维( compliment的第三人称单数 )
"
consider,"
vt.&amp; vi.考虑；把（某人，某事）看作…，认为（某人，某事）如何；考虑，细想vt.考虑；认为；看重；以为vi.仔细考虑；深思第三人称单数：considers过去式：considered过去分词：considered现在分词：considering
"
consumed,"
v.消耗( consume的过去式和过去分词 )；烧毁；大吃；使充满（强烈的感情）
"
contest,"
vt.竞争，为…而奋争；辩驳vi.争斗；竞争；争夺复数：contests第三人称单数：contests过去式：contested过去分词：contested现在分词：contesting
"
