code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh600000,2014-12-31,15.45,15.79,15.11,15.69,0.021484,468832339.0,7271524766.0,2.341383732e+11,2.926729665e+11,0.0314172311799,130.254641926,2014-09-30 00:00:00,2014-10-31 00:00:00,6.37574198957,2.51532577952,3.40138840772,1.26511085886,15.004,13.893,11.6125,15.0815667132,13.8940805568,12.1948262604
sh600000,2014-12-30,14.95,15.5,14.83,15.36,0.027425,443655559.0,6774519460.0,2.2921385675e+11,2.8651732093e+11,0.0297300934719,127.51510736,2014-09-30 00:00:00,2014-10-31 00:00:00,6.24164645709,2.46242308203,3.32984991221,1.23850286335,14.558,13.7375,11.515,14.7773500698,13.7050364049,12.0763457818
sh600000,2014-12-29,15.4,15.88,14.71,14.95,0.012187,625216146.0,9556435997.0,2.2309551812e+11,2.7886939765e+11,0.041896768978,124.11135349,2014-09-30 00:00:00,2014-10-31 00:00:00,6.07503852553,2.39669375578,3.24096640846,1.20544357335,14.308,13.613,11.4215,14.4860251048,13.5308297107,11.9650354568
sh600000,2014-12-26,14.3,14.84,14.19,14.77,0.036491,466983121.0,6790353352.0,2.2040941824e+11,2.755117728e+11,0.0312933120202,122.617019869,2014-09-30 00:00:00,2014-10-31 00:00:00,6.00189345005,2.36783692715,3.20194431311,1.19092971293,14.254,13.4735,11.335,14.2540376571,13.3814433644,11.8638502063
sh600000,2014-12-25,13.75,14.27,13.53,14.25,0.058692,455721907.0,6359588287.0,2.1264957413e+11,2.6581196766e+11,0.0305386794275,118.300129831,2014-09-30 00:00:00,2014-10-31 00:00:00,5.7905890645,2.28447417985,3.08921574149,1.14900149923,14.118,13.355,11.2508333333,13.9960564857,13.235279508,11.7653366421
sh600000,2014-12-24,14.11,14.2,13.31,13.46,-0.046067,417579539.0,5715187854.0,2.008605802e+11,2.5107572525e+11,0.0279826962032,111.741781209,2014-09-30 00:00:00,2014-10-31 00:00:00,5.46956911406,2.1578269977,2.91795511961,1.08530290134,14.046,13.2165,11.1751666667,13.8690847286,13.1284668247,11.6811107551
sh600000,2014-12-23,14.4,14.98,14.08,14.11,-0.038828,441578783.0,6398625351.0,2.1056038533e+11,2.6320048167e+11,0.0295909252748,117.137976366,2014-09-30 00:00:00,2014-10-31 00:00:00,5.73370363962,2.26203202709,3.05886799137,1.13771397084,14.176,13.1095,11.1135,14.0736270928,13.0935685957,11.6208094171
sh600000,2014-12-22,14.18,15.2,14.14,14.68,0.041874,683449513.0,10043569171.0,2.190663683e+11,2.7383296037e+11,0.0457990833038,121.869942493,2014-09-30 00:00:00,2014-10-31 00:00:00,5.96532528998,2.35341023989,3.18243560088,1.18367365137,14.012,12.958,11.0388333333,14.0554406392,12.9865758163,11.5364300641
sh600000,2014-12-19,13.96,14.2,13.63,14.09,0.014399,436244208.0,6099396161.0,2.1026192979e+11,2.6282741224e+11,0.0292334465724,116.971862714,2014-09-30 00:00:00,2014-10-31 00:00:00,5.7255726604,2.25882423392,3.05453020315,1.13610057586,13.628,12.767,10.9543333333,13.7431609589,12.8083206391,11.4298683567
sh600000,2014-12-18,14.22,14.34,13.71,13.89,-0.015592,499627853.0,7010664184.0,2.0727737436e+11,2.5909671795e+11,0.0334808895549,115.311492533,2014-09-30 00:00:00,2014-10-31 00:00:00,5.64430037924,2.22676110083,3.01117233273,1.11997406923,13.406,12.602,10.8836666667,13.5697414383,12.6734070221,11.3396943899
sh600000,2014-12-17,13.49,14.39,13.33,14.11,0.061701,869703585.0,12037657249.0,2.1056038533e+11,2.6320048167e+11,0.0582802770099,117.137906775,2014-09-30 00:00:00,2014-10-31 00:00:00,5.73370023328,2.26203068324,3.05886617412,1.13771329493,13.238,12.436,10.8143333333,13.4096121575,12.5453446034,11.2532433396
sh600000,2014-12-16,12.7,13.3,12.65,13.29,0.041536,438688005.0,5706439860.0,1.9832370808e+11,2.4790463511e+11,0.0293972094557,110.330410139,2014-09-30 00:00:00,2014-10-31 00:00:00,5.40048491362,2.13057224514,2.88109945655,1.07159482277,13.048,12.254,10.7386666667,13.0594182362,12.3806440353,11.156404116
sh600000,2014-12-15,12.8,12.82,12.46,12.76,-0.016949,335025414.0,4232421865.0,1.904146362e+11,2.3801829526e+11,0.0224506076211,105.930481653,2014-09-30 00:00:00,2014-10-31 00:00:00,5.18511593802,2.04560595615,2.76620247073,1.02886009007,12.92,12.112,10.6775,12.9441273543,12.2849223548,11.0840788205
sh600000,2014-12-12,13.05,13.38,12.78,12.98,-0.005364,310558743.0,4067040277.0,1.9369764717e+11,2.4212205897e+11,0.0208110554931,107.756852547,2014-09-30 00:00:00,2014-10-31 00:00:00,5.27451367022,2.08087470146,2.81389518014,1.04659889473,13.13,12.0115,10.6248333333,13.0361910314,12.2349141817,11.0272679239
sh600000,2014-12-11,12.96,13.55,12.85,13.05,-0.008359,442571181.0,5847503446.0,1.9474224157e+11,2.4342780197e+11,0.0296574275077,108.337977458,2014-09-30 00:00:00,2014-10-31 00:00:00,5.3029587409,2.0920967082,2.8290703133,1.05224312687,13.24,11.9075,10.5685,13.0642865471,12.1564840955,10.9610736051
sh600000,2014-12-10,12.7,13.25,12.21,13.16,0.040316,620272395.0,7901267906.0,1.9638374706e+11,2.4547968382e+11,0.0415654800379,109.251208308,2014-09-30 00:00:00,2014-10-31 00:00:00,5.34765982942,2.10973195764,2.85291785363,1.06111297019,13.284,11.802,10.511,13.0714298207,12.0624297898,10.8902625286
