date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2013-01-04,2296.11,2256.56,2276.99,0.00346388263343,2296.11,2256.56,,
2013-01-07,2293.32,2266.86,2285.36,0.0036759054717,2296.11,2266.86,,
2013-01-08,2289.14,2262.98,2276.07,-0.00406500507579,2296.11,2266.86,,
2013-01-09,2283.9,2259.05,2275.34,-0.000320728272856,2296.11,2266.86,,
2013-01-10,2295.48,2268.65,2283.66,0.00365659637681,2296.11,2268.65,,
2013-01-11,2290.21,2234.95,2243.0,-0.0178047520209,2296.11,2268.65,,
2013-01-14,2317.62,2235.11,2311.74,0.0306464556398,2317.62,2268.65,,
2013-01-15,2332.78,2309.32,2325.68,0.006030089889,2332.78,2309.32,0.0,2269.13
2013-01-16,2326.76,2279.51,2309.5,-0.00695710501875,2332.78,2309.32,0.0,2269.13
2013-01-17,2305.6,2275.88,2284.91,-0.0106473262611,2332.78,2234.95,0.0,2269.13
2013-01-18,2324.51,2285.97,2317.07,0.014074952624,2332.78,2234.95,0.0,2269.13
2013-01-21,2329.58,2305.1,2328.22,0.00481211184815,2332.78,2234.95,0.0,2269.13
2013-01-22,2335.81,2301.3,2315.14,-0.00561802578794,2335.81,2234.95,0.0,2269.13
2013-01-23,2325.12,2296.49,2320.91,0.00249228988312,2335.81,2234.95,0.0,2269.13
2013-01-24,2362.94,2287.3,2302.6,-0.00788914692944,2362.94,2234.95,0.0,2269.13
2013-01-25,2308.38,2288.26,2291.3,-0.00490749587423,2362.94,2235.11,0.0,2269.13
2013-01-28,2346.92,2295.35,2346.51,0.0240954916423,2362.94,2275.88,0.0,2269.13
2013-01-29,2363.8,2337.35,2358.98,0.00531427524281,2363.8,2275.88,0.0,2269.13
2013-01-30,2383.76,2347.89,2382.48,0.00996193269973,2383.76,2275.88,0.0,2269.13
2013-01-31,2391.82,2371.23,2385.42,0.0012340082603,2391.82,2285.97,0.0,2269.13
2013-02-01,2421.15,2369.57,2419.02,0.0140855698368,2421.15,2287.3,0.0,2269.13
2013-02-04,2440.38,2417.59,2428.15,0.00377425569032,2440.38,2287.3,0.0,2269.13
2013-02-05,2437.42,2403.3,2433.13,0.00205094413442,2440.38,2287.3,0.0,2269.13
2013-02-06,2441.73,2427.7,2434.48,0.000554840883964,2441.73,2287.3,0.0,2269.13
2013-02-07,2433.89,2394.22,2418.53,-0.00655170714074,2441.73,2288.26,0.0,2269.13
2013-02-08,2443.03,2414.4,2432.4,0.005734888548,2443.03,2295.35,0.0,2269.13
2013-02-18,2444.8,2415.43,2421.56,-0.0044565038645,2444.8,2337.35,0.0,2269.13
2013-02-19,2427.08,2373.54,2382.91,-0.0159607856093,2444.8,2347.89,0.0,2269.13
2013-02-20,2397.94,2370.61,2397.18,0.00598847627481,2444.8,2369.57,0.0,2269.13
2013-02-21,2378.82,2309.17,2325.95,-0.0297140807115,2444.8,2309.17,0.0,2269.13
2013-02-22,2330.88,2308.76,2314.16,-0.00506889657989,2444.8,2308.76,0.0,2269.13
2013-02-25,2338.78,2315.01,2325.82,0.0050385453037,2444.8,2308.76,0.0,2269.13
2013-02-26,2340.71,2289.89,2293.34,-0.0139649671944,2444.8,2289.89,0.0,2269.13
2013-02-27,2324.63,2292.03,2313.22,0.0086685794518,2444.8,2289.89,0.0,2269.13
2013-02-28,2366.16,2308.92,2365.59,0.022639437667,2444.8,2289.89,0.0,2269.13
2013-03-01,2369.65,2330.86,2359.51,-0.00257018333693,2444.8,2289.89,0.0,2269.13
2013-03-04,2333.54,2259.25,2273.4,-0.0364948654594,2444.8,2259.25,0.0,2269.13
2013-03-05,2328.14,2270.1,2326.31,0.0232735110407,2444.8,2259.25,0.0,2269.13
2013-03-06,2351.44,2321.6,2347.18,0.00897128929506,2444.8,2259.25,0.0,2269.13
2013-03-07,2352.02,2304.27,2324.29,-0.00975212808562,2444.8,2259.25,0.0,2269.13
2013-03-08,2333.67,2314.59,2318.61,-0.00244375701827,2444.8,2259.25,0.0,2269.13
2013-03-11,2320.96,2296.58,2310.59,-0.00345896895123,2444.8,2259.25,0.0,2269.13
2013-03-12,2333.29,2264.83,2286.61,-0.0103783016459,2444.8,2259.25,0.0,2269.13
2013-03-13,2286.33,2253.25,2263.97,-0.0099011199986,2444.8,2253.25,0.0,2269.13
2013-03-14,2276.22,2253.31,2270.28,0.00278713940556,2444.8,2253.25,0.0,2269.13
